id	userid	odds	hits	z	trials	created_at	updated_at
258	d40dfacc09	0.6990877008995	4	0.00	20	2023-05-28 00:30:04	2023-05-28 00:30:04
259	d40dfacc09	0.1	7	1.68	20	2023-05-28 00:31:20	2023-05-28 00:31:20
260	d40dfacc09	0.074316130151885	2	-1.12	20	2023-05-28 00:32:46	2023-05-28 00:32:46
261	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-28 13:42:39	2023-05-28 13:42:39
262	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-28 13:43:11	2023-05-28 13:43:11
263	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-28 13:43:44	2023-05-28 13:43:44
264	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-28 13:44:12	2023-05-28 13:44:12
265	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-28 13:44:45	2023-05-28 13:44:45
266	e875dfd59e	0.6990877008995	4	0.00	20	2023-05-29 04:17:07	2023-05-29 04:17:07
267	e875dfd59e	1.7001358506854	5	0.56	20	2023-05-29 04:26:10	2023-05-29 04:26:10
